,price,price_open,price_high,price_low,change
0,4333.70,4333.70,4333.70,4333.70,4333.70
1,4331.80,4331.80,4331.80,4331.80,4331.80
2,4341.70,4341.70,4341.70,4341.70,4341.70
3,4351.50,4351.50,4351.50,4351.50,4351.50
4,4325.20,4325.20,4325.20,4325.20,4325.20
5,4129.10,4129.10,4129.10,4129.10,4129.10
6,4074.00,4074.00,4074.00,4074.00,4074.00
7,4002.50,4002.50,4002.50,4002.50,4002.50
8,4064.30,4064.30,4064.30,4064.30,4064.30
9,4145.10,4145.10,4145.10,4145.10,4145.10
10,4090.20,4090.20,4090.20,4090.20,4090.20
11,4260.00,4260.00,4260.00,4260.00,4260.00
12,4386.30,4386.30,4386.30,4386.30,4386.30
13,4151.90,4151.90,4151.90,4151.90,4151.90
14,4319.50,4319.50,4319.50,4319.50,4319.50
15,4053.30,4053.30,4053.30,4053.30,4053.30
16,3865.50,3865.50,3865.50,3865.50,3865.50
17,3644.10,3644.10,3644.10,3644.10,3644.10
18,3407.90,3407.90,3407.90,3407.90,3407.90
19,3339.90,3339.90,3339.90,3339.90,3339.90
20,3415.00,3415.00,3415.00,3415.00,3415.00
21,3396.70,3396.70,3396.70,3396.70,3396.70
22,3227.90,3227.90,3227.90,3227.90,3227.90
23,3256.40,3256.40,3256.40,3256.40,3256.40
24,2860.00,2860.00,2860.00,2860.00,2860.00
25,2790.30,2790.30,2790.30,2790.30,2790.30
26,2702.00,2702.00,2702.00,2702.00,2702.00
27,2731.20,2731.20,2731.20,2731.20,2731.20
28,2856.00,2856.00,2856.00,2856.00,2856.00
29,2749.00,2749.00,2749.00,2749.00,2749.00
30,2714.10,2714.10,2714.10,2714.10,2714.10
31,2784.80,2784.80,2784.80,2784.80,2784.80
32,2664.90,2664.90,2664.90,2664.90,2664.90
33,2525.70,2525.70,2525.70,2525.70,2525.70
34,2560.90,2560.90,2560.90,2560.90,2560.90
35,2769.70,2769.70,2769.70,2769.70,2769.70
36,2747.50,2747.50,2747.50,2747.50,2747.50
37,2845.70,2845.70,2845.70,2845.70,2845.70
38,2664.00,2664.00,2664.00,2664.00,2664.00
39,2856.30,2856.30,2856.30,2856.30,2856.30
40,2253.10,2253.10,2253.10,2253.10,2253.10
41,2302.10,2302.10,2302.10,2302.10,2302.10
42,2219.00,2219.00,2219.00,2219.00,2219.00
43,1924.90,1924.90,1924.90,1924.90,1924.90
44,1978.60,1978.60,1978.60,1978.60,1978.60
45,2205.10,2205.10,2205.10,2205.10,2205.10
46,2329.00,2329.00,2329.00,2329.00,2329.00
47,2374.40,2374.40,2374.40,2374.40,2374.40
48,2282.10,2282.10,2282.10,2282.10,2282.10
49,2318.30,2318.30,2318.30,2318.30,2318.30
50,2478.00,2478.00,2478.00,2478.00,2478.00
51,2542.00,2542.00,2542.00,2542.00,2542.00
52,2479.30,2479.30,2479.30,2479.30,2479.30
53,2593.10,2593.10,2593.10,2593.10,2593.10
54,2598.50,2598.50,2598.50,2598.50,2598.50
55,2582.60,2582.60,2582.60,2582.60,2582.60
56,2524.00,2524.00,2524.00,2524.00,2524.00
57,2445.00,2445.00,2445.00,2445.00,2445.00
58,2349.50,2349.50,2349.50,2349.50,2349.50
59,2420.70,2420.70,2420.70,2420.70,2420.70
60,2470.10,2470.10,2470.10,2470.10,2470.10
61,2518.20,2518.20,2518.20,2518.20,2518.20
62,2521.20,2521.20,2521.20,2521.20,2521.20
63,2394.60,2394.60,2394.60,2394.60,2394.60
64,2477.70,2477.70,2477.70,2477.70,2477.70
65,2502.60,2502.60,2502.60,2502.60,2502.60
66,2674.90,2674.90,2674.90,2674.90,2674.90
67,2672.80,2672.80,2672.80,2672.80,2672.80
68,2621.20,2621.20,2621.20,2621.20,2621.20
69,2712.20,2712.20,2712.20,2712.20,2712.20
70,2580.80,2580.80,2580.80,2580.80,2580.80
71,2491.50,2491.50,2491.50,2491.50,2491.50
72,2610.00,2610.00,2610.00,2610.00,2610.00
73,2437.00,2437.00,2437.00,2437.00,2437.00
74,2377.40,2377.40,2377.40,2377.40,2377.40
75,2395.04,2395.04,2395.04,2395.04,2395.04
76,2676.40,2676.40,2676.40,2676.40,2676.40
77,2571.80,2571.80,2571.80,2571.80,2571.80
78,2936.30,2936.30,2936.30,2936.30,2936.30
79,2806.00,2806.00,2806.00,2806.00,2806.00
80,2809.00,2809.00,2809.00,2809.00,2809.00
81,2782.10,2782.10,2782.10,2782.10,2782.10
82,2642.63,2642.63,2642.63,2642.63,2642.63
83,2843.60,2843.60,2843.60,2843.60,2843.60
84,2636.20,2636.20,2636.20,2636.20,2636.20
85,2488.20,2488.20,2488.20,2488.20,2488.20
86,2461.00,2461.00,2461.00,2461.00,2461.00
87,2405.88,2405.88,2405.88,2405.88,2405.88
88,2311.60,2311.60,2311.60,2311.60,2311.60
89,2191.83,2191.83,2191.83,2191.83,2191.83
90,2146.70,2146.70,2146.70,2146.70,2146.70
91,2207.40,2207.40,2207.40,2207.40,2207.40
92,2056.60,2056.60,2056.60,2056.60,2056.60
93,1972.30,1972.30,1972.30,1972.30,1972.30
94,2127.30,2127.30,2127.30,2127.30,2127.30
95,2252.00,2252.00,2252.00,2252.00,2252.00
