favorites,followers,following,listed,tweets,tweetsperfollower,followingperfollower,listedperfollower,favoritespertweet,compound,negative,neutral,positive,userurl,userbio,userurllen,userbiolen,word1,hashtag1,mention1,scorea,scoreb,scorec,scored,dayratio,dayperfollower,dayperlisting,timestr,account_age,handle1,keyword_women,keyword_woman,keyword_trump,keyword_hillary,keyword_war,keyword_russia,keyword_syria,keyword_iran,keyword_iraq,keyword_china,keyword_president,keyword_potus,keyword_jail,keyword_prosecuted,keyword_vote,keyword_police,keyword_black,keyword_latino,keyword_immigration,keyword_hate,keyword_unfit,keyword_love,keyword_isis,keyword_immigrant,keyword_putin,keyword_wall,keyword_email,keyword_dangerous,keyword_nuclear,keyword_nuke,keyword_oil,keyword_energy,keyword_tax,keyword_taxes,keyword_border,keyword_mexico,keyword_racist,keyword_groping,keyword_deficit,keyword_debt,keyword_rates,keyword_healthcare,keyword_education,keyword_crooked,keyword_lose,keyword_rapist,keyword_podesta,keyword_obamacare,keyword_racial,keyword_losing,keyword_winning,keyword_wikileaks,keyword_deplorable
11847.098641600001,5880.70267146,2013.41009125,89.1640034684,38549.0805979,87.6765851771,2.23719981471,0.10164041391100001,23.0480106601,-0.0349714851976,0.0909165944093,0.830825963087,0.0782357653082,58,31,5470,5179,people,#imwithher,@wikileaks:,61.0,2.0,31.0,58.0,0.05,1.87968952135,37.84375,20161106_1220,1376.0,OHenryHernandez,242,78,11062,3158,40,56,29,7,6,14,537,22,16,3,786,49,167,85,20,186,15,175,268,40,49,57,336,52,15,2,4,65,48,25,10,5,118,0,0,4,5,1,22,64,37,10,224,15,4,14,87,266,25
12051.4246348,6813.97357666,1898.92813499,90.3722332376,36050.294055800005,89.31833365760001,2.17640902129,0.100952128728,25.60528022,-0.0295190385627,0.0873452029296,0.8352882693320001,0.0773498158864,46,32,5244,5018,people,#maga,@wikileaks:,67.0,2.0,32.0,60.0,0.0501750291715,1.85820895522,37.1964285714,20161106_1230,1373.0,BeCupids,244,112,11124,3221,46,57,21,16,1,6,524,26,17,1,940,45,162,97,22,174,17,133,268,28,44,48,280,67,24,0,5,81,47,27,9,14,100,1,0,6,4,1,25,51,38,6,226,10,0,9,66,248,22
12005.9908111,3584.323561,1690.23891165,85.605473567,36807.42674730001,92.05503939110001,2.33200512496,0.09986488708329999,25.7571548863,-0.0280237201162,0.08595851068060001,0.837148215919,0.07687994749189998,30,17,5550,5234,rally,#maga,@wikileaks:,58.0,2.0,32.0,57.0,0.050845790716000004,1.92967651195,37.0769230769,20161106_1240,1415.0,JulieCa92128716,287,93,11300,3387,42,68,10,2,1,7,510,23,15,2,966,47,124,90,17,173,16,162,257,21,52,32,300,68,20,3,3,81,44,29,8,16,159,2,0,4,7,2,20,48,47,3,221,11,4,19,63,262,30
12470.895381999999,3907.83706133,1668.75422571,81.3801381895,34837.481360000005,78.9275012511,2.5682570436099996,0.10470169519099999,21.864322043,-0.027414228832400002,0.08596350080019999,0.8357802240700001,0.0782379669751,31,23,5525,5248,vote,#maga,@wikileaks:,51.0,2.0,32.0,55.0,0.05023842244630001,1.96277145812,39.12,20161106_1250,1385.0,cyvillarreal,255,132,11503,3474,49,59,10,7,2,3,560,20,36,2,1018,42,101,88,25,158,14,172,267,39,44,39,303,57,36,2,2,77,77,41,7,40,128,3,4,11,6,3,16,54,26,10,234,14,3,20,65,266,24
12280.2780309,4798.72087861,1767.82096818,83.4673832613,34510.4636056,70.6473152442,2.29869220414,0.096628680958,22.1319106892,-0.0309361841337,0.08706647972889998,0.8350970518359999,0.0778280951825,32,26,5567,5274,rally,#maga,@wikileaks:,67.0,2.0,33.0,56.0,0.05,1.9730941704,40.8260869565,20161106_1300,1430.0,dwlinzy,245,105,11379,3618,51,39,8,8,1,6,497,33,20,2,1062,40,127,93,24,168,14,187,289,27,40,31,350,57,33,1,1,73,50,46,4,19,90,2,1,8,1,1,22,45,37,13,241,11,13,18,62,352,28
12714.8918291,6089.76048125,2204.89780779,96.59905521110001,36839.8174638,72.6649424481,2.22508914161,0.09760828618760001,21.417448983299998,-0.0315912348686,0.0856801741955,0.839240109241,0.07506753764389999,54,31,6251,5942,👇,#maga,@wikileaks:,65.0,2.0,31.0,57.0,0.048951048951000005,1.8839567339900003,38.5687034277,20161106_1310,1446.5,paparcura,296,112,12549,3638,57,48,4,9,4,6,516,24,29,2,1115,35,166,109,13,208,11,171,276,30,44,55,393,76,41,3,2,87,62,29,4,21,144,1,2,3,3,0,16,47,36,9,193,19,23,12,60,381,26
12311.5991626,5178.3901329,1854.52131804,88.33773894049999,34851.6613508,58.707724901700004,2.15598629004,0.09327636344239999,20.4503142826,-0.0271704642272,0.08651592936460001,0.835483633716,0.0779970872019,54,23,5982,5724,vote,#maga,@wikileaks:,70.0,2.0,31.0,63.0,0.048964218455699995,1.9478584730000001,40.0196078431,20161106_1320,1460.0,3brant1,224,311,12516,3918,47,54,13,12,6,6,524,26,27,3,1263,39,340,94,14,196,17,174,241,24,69,62,302,63,33,1,2,72,45,31,5,18,131,2,2,1,2,3,13,49,36,7,199,14,30,13,72,403,22
12462.566276399999,5765.48044063,1778.9461572,94.01646913399999,34324.4728786,66.36148750939999,2.1024238116599996,0.0943736151903,22.370945267800003,-0.0294661237548,0.08845448265830001,0.832200756199,0.0793278557406,38,18,5774,5509,vote,#maga,@wikileaks:,67.0,2.0,31.0,61.0,0.0489938757655,1.9964428306200002,39.5192307692,20161106_1330,1436.0,SameliasH,278,231,12255,4242,60,63,7,6,2,9,670,43,25,0,1185,49,218,76,23,210,15,153,248,32,73,27,267,52,56,0,4,58,33,30,11,24,125,0,1,5,3,4,18,49,45,7,241,16,20,11,53,401,18
12676.4176492,3808.41289746,1870.27184709,85.8860664523,33956.504323,73.4312601728,2.07450982854,0.09201354527200001,31.0320356718,-0.0291421007503,0.0884240443015,0.833071132547,0.07848445873530001,40,17,5770,5477,vote,#maga,@berniesanders:,63.0,2.0,31.0,55.0,0.0487804878049,1.87163978495,37.1,20161106_1340,1407.0,MarketSenseiApp,300,260,12842,4072,48,61,6,8,5,12,711,40,28,0,1177,40,213,103,19,181,13,153,228,15,59,26,289,68,37,2,2,57,33,29,8,23,114,2,2,3,2,1,19,104,43,5,229,10,16,26,70,462,20
12880.7650675,4196.92025586,1745.1832978,86.62100213219999,33944.3677683,72.7882630431,2.07055100559,0.09497775102880002,24.352957060100003,-0.0333923205402,0.0876068230277,0.8356179104479999,0.0767637882018,28,17,5819,5494,people,#maga,@berniesanders:,62.0,2.0,32.0,55.0,0.0506993006993,1.9783197832,38.7580982236,20161106_1350,1404.0,HarishK04131926,292,251,12625,3903,47,65,4,7,1,7,668,28,30,2,1130,43,269,117,14,172,17,148,249,15,90,45,325,89,28,3,0,63,44,33,8,16,117,2,0,1,3,0,15,99,51,5,302,8,14,34,79,480,20
12710.6827325,5519.72409519,1632.98466605,93.70624690129999,34329.727424000004,66.8513653287,2.0706061086200003,0.105795166433,24.1072870302,-0.026473061123299998,0.0851840427792,0.837936645655,0.0768659253488,32,15,6025,5729,vote,#maga,@berniesanders:,65.0,2.0,33.0,62.0,0.050859598853900005,1.99391642012,40.0757142857,20161106_1400,1435.0,ambinc1,390,202,12729,3869,71,56,5,5,2,9,672,31,23,1,1288,32,262,113,26,206,23,129,224,20,65,33,276,84,44,2,5,70,67,43,6,12,126,4,0,5,2,2,20,81,45,12,354,16,24,135,106,510,18
12179.225037,7916.09501799,1763.34771717,107.552783854,35392.4861689,92.8981541573,2.1080137483400003,0.0983247530442,21.1435019169,-0.0255274010303,0.0822176628325,0.8435184884620001,0.07425269917439999,39,23,6283,6001,vote,#maga,@berniesanders:,64.0,2.0,33.0,61.0,0.047878787878800004,1.9619883040900001,40.753787878800004,20161106_1410,1455.0,sassiesmae,389,164,13398,3789,82,45,11,2,4,13,660,56,31,2,1395,40,205,88,29,209,8,118,158,29,60,52,263,81,53,2,3,62,57,32,6,13,165,4,1,3,3,1,17,62,32,4,314,13,7,82,116,418,10
12729.268171700001,6178.36968829,1711.38055633,98.2982946603,34888.8656346,70.2960227711,2.0193066396400003,0.09212179842280001,25.581163910900003,-0.027522022644700002,0.0849040047526,0.838772295219,0.0763189823875,43,21,6228,5964,vote,#podestaemails32,@wikileaks:,67.0,2.0,31.0,59.0,0.0491803278689,1.9822058401,40.5294117647,20161106_1420,1467.0,Big_Tickets,370,144,12743,3688,57,47,3,4,2,11,613,30,38,4,1340,29,222,72,16,201,9,157,171,25,60,57,234,84,33,1,0,61,46,26,9,22,215,3,0,5,4,3,18,65,87,14,316,17,7,75,111,431,11
12177.916182100002,5369.08732049,1778.33366025,90.3735901926,32767.3057093,63.735738027299995,2.07395918831,0.0985758244809,27.1563422343,-0.0215243747811,0.0858638178634,0.8346635026270001,0.07945485113839999,33,17,5930,5631,vote,#podestaemails32,@berniesanders:,64.0,2.0,32.0,60.0,0.0478041666333,1.9931640625,40.5916666667,20161106_1430,1439.0,Big_Tickets,386,165,12913,3792,66,48,3,4,4,9,617,36,23,2,1261,24,253,79,24,155,16,145,192,6,73,52,230,86,33,0,5,64,81,27,31,45,179,5,3,3,0,4,17,131,105,12,275,13,10,64,97,456,21
12464.581506,5556.10152835,1727.71664393,103.62347427700001,34883.942153699994,98.9797608594,2.14317142066,0.09481487675560002,27.5408239737,-0.0252484034554,0.0862949323261,0.8364679467,0.077223970902,33,17,6163,5906,vote,#podestaemails32,@berniesanders:,66.0,2.0,31.0,58.0,0.049542272482500004,2.0556621881,42.0,20161106_1440,1449.0,Big_Tickets,352,158,13519,3501,44,63,3,2,3,4,627,50,21,3,1325,27,340,160,20,175,141,152,163,11,61,31,253,77,34,2,3,51,60,29,29,37,233,1,2,1,1,1,27,149,77,7,299,5,10,78,77,409,25
12860.3314399,4927.264427100001,1760.58558684,94.9845971564,35312.1736479,74.8793561967,2.41469226268,0.0940880237367,21.8863517377,-0.026815249512099997,0.0858369110677,0.837175216058,0.07697943964319999,49,11,6337,6038,vote,#podestaemails32,@berniesanders:,66.0,2.0,31.0,60.0,0.0496083550914,1.9821021021,40.0,20161106_1450,1457.0,watson1_z,305,135,12893,3641,81,63,3,7,4,13,616,40,31,4,1258,45,290,121,23,164,141,208,200,12,79,66,263,55,41,3,2,49,64,28,15,23,256,6,0,4,0,3,14,123,78,15,260,7,11,41,117,442,19
12624.592211,5144.82609151,1892.40265456,86.04013272790002,34196.288299,76.5757250738,2.57173356126,0.09454956901419999,28.2654470636,-0.0270683164513,0.0846742577716,0.839387984632,0.07592658051,28,22,6153,5879,vote,#podestaemails32,@berniesanders:,64.0,2.0,32.0,57.0,0.04838709677419999,2.05072117052,42.054484803600005,20161106_1500,1421.0,wft2016,331,135,12786,3382,78,41,1,7,4,7,720,26,41,7,1302,33,244,112,16,179,150,190,164,6,73,55,294,67,49,14,4,24,76,30,20,13,251,2,6,8,4,1,12,126,79,13,276,6,5,35,98,475,15
12340.475904500001,4430.23770778,1836.08119151,92.4555454672,36144.8647856,74.6618160168,2.52536048857,0.09713380764,22.2683037212,-0.0326231945802,0.08633199469200001,0.8387496857100001,0.0749093099595,40,17,6519,6245,vote,#podestaemails32,@berniesanders:,64.0,2.0,32.5,54.0,0.048588173167500005,1.96097952847,41.2682926829,20161106_1510,1433.0,LouLachat,285,142,12349,3280,65,38,5,3,4,8,698,46,27,3,1325,19,219,127,25,204,119,146,157,9,87,72,450,62,39,6,10,48,64,42,20,12,193,1,1,2,1,4,15,153,70,16,292,5,9,41,75,679,13
12371.2556779,5818.00926571,1876.45325345,93.49331196879999,35313.706249099996,81.6975068026,2.4590247337299997,0.10311984712000001,22.322380185100002,-0.05330088128740001,0.09385679949839999,0.83212494775,0.0740105893828,38,17,6150,5860,vote,#podestaemails32,@berniesanders:,67.0,2.0,32.0,59.0,0.049958368026599996,2.0076277650599996,41.1081081081,20161106_1520,1413.0,BeCupids,305,122,12815,3372,44,51,5,3,2,5,612,20,18,3,1298,21,230,117,20,163,95,193,200,11,70,61,470,67,29,7,2,24,42,35,9,7,238,5,0,4,4,1,13,137,72,9,430,10,7,43,46,636,20
12597.384682200001,5945.86407666,1770.30128806,93.9919105649,35021.544596,93.9307747154,2.45261050285,0.104053197765,22.8063908066,-0.049391108565100005,0.0904352671597,0.836048744922,0.073510432941,40,21,6338,6048,foundation,#podestaemails32,@wikileaks:,61.0,2.0,31.0,60.0,0.05,2.0454545454499997,41.0294117647,20161106_1530,1406.0,tb0811,247,117,12750,3579,40,27,3,5,0,10,633,45,29,3,1355,29,199,154,13,127,93,136,191,9,63,42,1244,67,27,8,5,30,53,30,12,12,231,0,0,4,0,1,26,126,62,7,387,14,5,55,66,582,22
12050.023930500001,5237.24119687,1899.39732315,91.2845029957,34264.315966500006,70.7983977796,2.04500169486,0.09606115162340001,22.4684165709,-0.0437220559896,0.09061746259770001,0.834953190148,0.0744145264707,45,13,6585,6254,foundation,#podestaemails32,@wikileaks:,66.0,2.0,31.0,57.0,0.047529332910099996,1.95268542199,41.1351351351,20161106_1540,1414.0,Victori71012315,253,125,12681,4226,47,34,5,3,1,19,661,46,31,2,1262,40,173,120,9,216,78,160,189,12,53,60,848,51,35,4,3,37,53,32,11,13,152,2,0,6,3,0,13,139,84,6,615,7,9,88,71,433,16
11913.0458339,4988.98814161,1657.02917652,84.6150368619,34148.0269857,75.0741054658,2.1321961855700002,0.0901387068871,22.573241133200003,-0.0484401168452,0.09025055640560001,0.8383985255249999,0.0713377382112,52,14,6327,6051,vote,#podestaemails32,@wikileaks:,65.0,2.0,32.0,57.0,0.0476442562202,2.03062382786,44.0,20161106_1550,1393.0,RosieAndujar,275,118,12254,5069,61,38,6,8,6,14,674,23,29,1,2333,28,153,93,9,287,45,142,245,8,44,102,654,54,73,2,3,32,53,56,19,11,200,2,0,8,2,3,15,117,94,6,610,7,8,75,51,1331,17
12363.429087999999,5559.0308056,1791.86586002,86.5960849762,34287.8482668,73.3094020874,2.1008746121,0.0931678612078,22.744571274499997,-0.046844918465999995,0.0897001147387,0.8371429366159999,0.0731434233858,44,15,6556,6244,vote,#podestaemails32,@wikileaks:,63.0,2.0,32.0,60.0,0.0486111111111,2.00789662599,43.6842105263,20161106_1600,1432.0,Merry__Can,300,117,12526,4958,53,47,2,3,5,11,575,25,35,1,2059,27,161,122,23,210,60,152,252,7,66,81,637,167,50,4,4,29,99,71,13,14,214,3,1,4,3,5,17,113,88,7,422,13,13,74,60,1220,14
12212.8350108,4707.36069272,1804.91236899,82.01981675569999,34411.362497400005,73.31998732529999,2.0834603940000003,0.09283444607449999,21.8915761342,-0.0452776636357,0.0916489900743,0.83483067259,0.0735076698827,46,19,6505,6220,vote,#podestaemails32,@wikileaks:,66.0,2.0,32.0,56.0,0.0486486486486,2.0382978723400003,43.5,20161106_1610,1434.0,TXGOOGLE,274,117,12917,4494,37,41,3,2,2,12,622,23,28,5,1757,56,186,130,13,197,55,157,219,6,64,56,512,111,47,3,8,39,136,49,4,15,180,1,1,3,3,4,17,94,78,14,443,22,6,81,57,1034,11
12864.0215923,4681.91794943,1790.23002716,86.49669150940001,35688.9114369,60.2989672749,2.0104521867900003,0.0885866707326,22.1206473472,-0.0297834157554,0.0879390541199,0.835583826705,0.0764684822735,43,13,6554,6273,vote,#cnnsotu,@wikileaks:,68.0,2.0,31.0,56.0,0.0473860028528,1.9610778443099999,42.0,20161106_1620,1459.0,JC3Me2,242,116,12698,4251,37,49,2,4,0,8,615,21,38,4,1635,71,173,124,17,223,87,138,195,4,52,50,520,120,69,5,6,48,143,115,7,11,202,0,0,3,2,1,27,136,98,3,366,18,12,64,54,932,6
12743.3740309,4051.33533808,1679.01279333,82.4917434382,33424.631427099994,65.4779150091,4.0980343799300005,0.0971254015813,22.971151375199998,-0.0356857569963,0.0911175734399,0.832558908396,0.0763025204241,34,21,6376,6040,vote,#decision2016,@wikileaks:,58.0,2.0,34.0,62.0,0.05,2.08791208791,43.6666666667,20161106_1630,1403.0,SameliasH,249,110,12181,3979,43,60,6,8,3,8,640,29,31,4,1729,54,276,177,15,215,82,150,171,3,52,50,466,102,29,4,2,29,116,85,3,11,149,2,0,4,1,5,19,105,90,4,338,14,6,75,51,901,11
11506.8150723,4928.51011541,1548.00587458,80.4570355951,30730.2644258,75.0490614796,12.0585976417,0.136501636515,23.300962552199998,-0.04796361582309999,0.0962272664071,0.827415983037,0.076304400723,25,17,5833,5569,closing,#2016election,@syeddoha:,66.0,2.0,35.0,60.0,0.056749966984,2.74,51.4494949495,20161106_1640,1296.0,SameliasH,244,108,10975,3487,56,34,6,6,4,6,536,38,21,1,1895,43,205,215,6,432,57,419,154,5,42,71,424,71,22,5,13,49,116,125,10,15,123,4,0,6,1,4,18,113,81,5,252,8,4,58,43,667,8
11657.8885561,3774.43863621,1593.6931462000002,73.6651807481,33221.4947412,73.1251798164,7.8927485086199995,0.116242171955,23.256172361199997,-0.021602065194700003,0.09686421257919998,0.815743887999,0.0873119384272,39,33,5977,5715,closing,#decision2016,@nbcphiladelphia,64.0,2.0,35.0,56.0,0.0537139349294,2.4141976558500002,47.895526459399996,20161106_1650,1343.0,SameliasH,226,119,11788,3937,63,43,6,3,3,15,648,32,22,3,1851,39,213,176,11,430,54,410,139,4,41,51,456,60,32,5,19,63,100,118,12,10,118,1,0,4,1,2,7,81,77,7,214,18,3,76,64,651,9
10644.0654935,3692.27110232,1468.00916285,67.81000971819999,28255.9805984,156.466292156,15.210178448699999,0.21697401890999998,93.35568517850001,-0.0587816326531,0.09661443148690001,0.830453526308,0.0728694988199,20,12,5037,4787,closing,#2016election,@syeddoha:,69.0,2.0,36.0,63.0,0.0659613215427,3.35066410749,49.5,20161106_1700,1140.0,fire123p,223,118,11608,3369,55,34,4,3,1,7,552,16,17,2,1618,35,213,137,8,314,47,299,128,16,26,58,387,54,34,2,17,33,81,95,9,6,90,1,1,2,2,0,20,65,49,13,211,8,5,36,45,503,7
12623.1116062,5444.24594444,1849.57853512,92.9588526074,35114.505535100005,68.6230845337,2.04142851273,0.0922474163503,21.7868151959,-0.021979495927,0.08800887697560002,0.832442247441,0.07954330571610001,56,25,6693,6364,vote,#maga,@wikileaks:,70.0,2.0,32.0,62.0,0.047576031315900005,1.95563380282,40.71875,20161106_1710,1363.0,sassiesmae,275,175,12739,4001,72,33,3,4,6,7,677,26,25,3,1850,33,190,148,15,370,45,334,182,15,53,68,422,58,59,5,18,94,102,81,17,26,109,2,3,5,0,4,36,77,91,1,271,12,3,87,52,612,15
