month,SDP,VAS,KOK,KESK,RKP,KD,VIHR,PERUSS,MUU,unemployment,unemployment_m,unemployment_f
1,21.6,8.4,22.9,22.5,4.3,4.7,9.8,4.7,1.1,6.8,6.3,7.3
2,22.5,8.3,23.2,22.0,4.0,4.3,9.9,4.8,1.0,6.4,5.8,7.0
3,21.5,8.5,22.5,22.3,4.1,4.7,10.0,5.2,1.2,6.8,7.2,6.3
4,21.8,8.3,22.9,21.7,4.4,4.5,9.9,5.2,1.3,6.2,6.2,6.2
5,22.4,8.3,22.3,22.2,4.1,4.4,9.6,5.0,1.7,8.8,8.7,9.0
6,21.4,8.7,22.5,21.6,4.6,4.3,9.7,5.5,1.7,6.8,6.3,7.4
7,20.4,8.3,22.0,22.0,4.4,4.8,10.1,5.9,2.1,5.2,4.5,6.0
8,21.8,8.9,22.4,22.1,4.6,4.1,9.7,3.8,2.6,5.6,4.6,6.5
9,21.7,8.7,22.0,22.1,4.4,3.8,10.2,4.5,2.6,5.9,5.7,6.1
10,20.6,8.4,23.4,21.2,4.3,4.8,9.7,5.2,2.4,5.8,6.0,5.6
11,21.6,7.8,23.5,21.6,4.4,3.7,9.7,6.3,1.4,6.0,5.5,6.6
12,20.2,8.2,24.2,20.7,4.1,3.8,10.1,7.1,1.6,6.1,6.0,6.1
1,19.9,7.5,25.2,19.6,4.3,3.9,10.2,8.1,1.3,7.0,7.3,6.7
2,19.6,8.0,24.4,20.3,4.2,3.7,10.3,7.8,1.7,7.6,8.1,7.0
3,21.4,7.4,23.3,19.0,3.5,3.9,10.9,9.2,1.4,8.3,9.7,6.9
4,21.6,8.1,23.1,18.6,4.2,4.1,10.6,8.2,1.5,8.8,9.5,8.0
5,20.9,7.5,23.4,19.8,3.4,3.8,10.8,8.6,1.8,10.9,12.0,9.7
6,19.4,7.3,22.5,19.5,4.2,4.5,11.8,9.1,1.7,9.1,10.2,7.9
7,19.3,7.9,22.2,19.7,4.3,4.8,12.1,8.1,1.6,7.7,7.6,7.9
8,20.5,7.6,23.1,19.4,3.8,4.0,11.0,8.8,1.8,7.6,8.0,7.1
9,20.3,8.0,22.4,20.4,4.0,4.3,11.0,7.8,1.8,7.3,7.6,7.0
10,20.9,7.8,23.1,19.9,4.0,4.4,11.2,7.3,1.4,8.2,8.7,7.7
11,20.3,8.5,23.1,20.1,4.1,4.2,10.6,7.7,1.4,8.5,9.3,7.7
12,20.9,8.1,23.2,20.7,4.4,4.3,10.4,6.2,1.8,7.9,8.7,7.0
1,21.0,8.1,23.2,20.7,4.1,4.6,10.1,6.4,1.8,9.5,10.8,8.2
2,21.2,8.3,23.6,19.6,4.1,4.3,10.4,6.3,2.2,9.2,10.1,8.2
3,21.2,8.0,22.9,20.7,4.0,4.3,10.4,6.8,1.7,9.1,10.5,7.5
